,Name,Link
48,Jim Chen,https://www.linkedin.com/in/jim-chen-7206b118?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAOpjcgBbTZUpUCyNMNx7enzsoIFI1rrr_8
49,Paul Ammann,
50,Robert Simon,
51,Robert Pettit,https://www.linkedin.com/in/rgpettit?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI6tYMBhoH2rwBzx40IQ5H7QuiiY7aPUPM
52,Samuel Gordon,
53,Sean Luke,
54,Socrates Dimitriadis,
55,Tamara Maddox,https://www.linkedin.com/in/tamara-maddox-bbb4a251?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAArtvj8Bcc-3dcKxNWwFbA5LuJKDTUfVwIk
56,Thomas LaToza,https://www.linkedin.com/in/thomas-latoza?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAutrzgByjpozFJAJuE2EyKT2BW9yFdWLrc
57,Zoran Duric,
58,Erion Plaku,https://www.linkedin.com/in/erion-plaku-86001b90?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABM5YAgBk2fu6gqlCMH_1UEIWx42OZXP_kc
59,Evgenios Kornaropoulos,https://www.linkedin.com/in/evgenios-m-kornaropoulos-7a0611248?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAD1QpCgBqJlpsSSg2twCyLuCyarm5IOfkGY
60,Fang-Yi Yu,https://www.linkedin.com/in/fang-yi-yu-66606b77?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABA0Y-4B4vXTffeja2nwujtx__3SuXuuu4s
61,Foteini Baldimtsi,https://www.linkedin.com/in/foteini-baldimtsi-03b7802a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAYqPC8B3ChHzJPBtCAfk3L2vQS3JGOX0Tg
62,Giuseppe Ateniese,
63,Gregory Stein,https://www.linkedin.com/in/greg-stein-2714045?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADzHHUB3mYYg_g2BulMAQy7urYto37KGSQ
64,Grigory Yaroslavtsev,
65,Haikun Huang,
66,Hamza Mughal,
67,Huzefa Rangwala,https://www.linkedin.com/in/huzefarangwala?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACGFIsB02c-cnOk3Nb4p05ZB9qxFcLjPAA
68,Ivan Avramovic,https://www.linkedin.com/in/ivan-avramovic764?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAxWgicBjunYW4xke3bVEvGpPUy-o666qB8
69,Jessica Lin,https://www.linkedin.com/in/jessica-lin-bb31196?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEVwHcB6Sa6iXT0tNy-IjkRqqoRpiHfj04
70,Jinwei Ye,https://www.linkedin.com/in/jinwei-ye-3740662a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAYPMIgBOvCURPf2QTT0qwiTz6fbjFWWpPs
71,John Otten,
72,Jyh-Ming Lien,https://www.linkedin.com/in/jmlien?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMpeJ4BYlZzO7ABTz2eZ1ySQ1FGtmwsSFQ
73,Katherine Russell,
74,Kevin Andrea,https://www.linkedin.com/in/kevin-andrea-91611520?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARJw-IB0FjDYTp41ScmPqo7opDhkuVBR4M
75,Kevin Moran,https://www.linkedin.com/in/drkpmoran?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA-sQk4B0Ce1nJsKkId3dJlCv3HJm9qEQx4
76,Lannan Luo,
77,Lap Fai Yu,
78,Lishan Yang,https://www.linkedin.com/in/lishan-yang-78b667140?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACJE4ZsB78YrUtQ2zUE7wXEW-4JBrqgu3XU
79,Maha Shamseddine,
80,Mark Snyder,
81,Mingrui Liu,https://www.linkedin.com/in/mingrui-liu-447a2aab?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABd3j_cBC2AQPH7ev6yIvduFaWWx-V_4M4Y
82,Parth Pathak,
83,Ping Deng,
84,Qiang Zeng,
85,Sanmay Das,https://www.linkedin.com/in/sanmaydas?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAdFTZQBiU0iAT7ctwQBUg2iMP6b0Pq4C0I
86,Sara-Lynn Gopalkrishna,https://www.linkedin.com/in/sara-lynn-gopalkrishna-7129b651?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAsBI34BMqbhHBW5hVApZaShoeevQrKPMGs
87,Seyed Mohammad Sina Ahmadi,
88,Shahnaz Kamberi,https://www.linkedin.com/in/shahnazkamberi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAB1INYBRU0l2szWQDJvJsBUHC29r-0wX6o
89,Shuochao Yao,
90,Shvetha Soundararajan,https://www.linkedin.com/in/shvethas?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAD9wlgBYUBx3DjsSTqP-Nk7EFzB3lMGLl0
91,Songqing Chen,https://www.linkedin.com/in/songqing-chen-87286160?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAzw0ZYBcxHxhbioCmUB9Pt1-AzvUt6HumM
92,Thanhvu Nguyen,
93,Wassim Itani,https://www.linkedin.com/in/wassimitani?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAHkncoBX6tzz2O7WL_-rFCCYUtouDvpqkU
