,area,top10,top10_scores
15,computational biomedicine,"['lap fai craig yu', 'omoche cheche agada', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'david kepplinger', 'ilhan izmirli', 'pilgyu kang', 'shanjiang zhu', 'robert simon']","[0.1636634176769943, 0.14515638137083725, 0.1310356045902398, 0.11461365101225056, 0.11334401336131951, 0.10948196824072454, 0.10340647907388009, 0.0922138891954147, 0.0890870806374748, 0.08547043234472845]"
16,design results clinical studies,"['md tanvir arafin', 'david lattanzi', 'sai manoj pudukotai dinakarrao', 'gregory stein', 'david kepplinger', 'ilhan izmirli', 'pilgyu kang', 'filipe veiga', 'kenneth pasiah', 'paulo costa']","[0.17927719707289436, 0.17323557290126324, 0.16365836157734132, 0.15483397620843253, 0.15148641040427896, 0.14665696546786167, 0.14035248376434134, 0.1329249607559881, 0.1317358420292073, 0.12253863530893723]"
17,experimental understanding disease mechanisms,"['mohamed ibrahem', 'pilgyu kang', 'maryam parsa', 'zhi tian', 'ilhan izmirli', 'gregory stein', 'sara lynn gopalkrishna', 'nathalia peixoto', 'filipe veiga', 'omoche cheche agada']","[0.06565321642986127, 0.06407097870320745, 0.06034482758620689, 0.051816512433904977, 0.050293378399140096, 0.04442855196217142, 0.04376881095324086, 0.04376881095324085, 0.04107590266330869, 0.04034234539110201]"
18,neuroengineering,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,construction engineering management,"['pilgyu kang', 'jyh ming lien', 'ilhan izmirli', 'md tanvir arafin', 'paulo costa', 'david kepplinger', 'shima mohebbi', 'wenying ji', 'omoche cheche agada', 'gregory stein']","[0.07045948486252365, 0.06549531463278077, 0.06208054557895583, 0.059549133417541374, 0.05686409402392008, 0.051216617822002236, 0.05117768462152808, 0.048621663832631515, 0.047533793189796635, 0.0448700649450898]"
20,environmental water resources engineering,"['david binning', 'shima mohebbi', 'pei dong', 'md tanvir arafin', 'pilgyu kang', 'wenying ji', 'david kepplinger', 'ilhan izmirli', 'nora mcdonald', 'zoran duric']","[0.15667199731347392, 0.09040417333228196, 0.08370563600601104, 0.06454972243679029, 0.05819143739626463, 0.05621826951410452, 0.04934888067984035, 0.04894087842323963, 0.044703481732151676, 0.041344911529736156]"
21,geotechnical engineering,"['pilgyu kang', 'md tanvir arafin', 'david kepplinger', 'ilhan izmirli', 'david binning', 'shima mohebbi', 'omoche cheche agada', 'jyh ming lien', 'kuochu chang', 'paulo costa']","[0.08451542547285168, 0.08333333333333336, 0.0716727723851245, 0.07108020265573839, 0.058345003501167086, 0.05570311373193266, 0.055432508769811616, 0.0549926681330075, 0.04956139503413175, 0.04774552605594228]"
22,structural engineering,"['jyh ming lien', 'wenying ji', 'ilhan izmirli', 'pilgyu kang', 'md tanvir arafin', 'david kepplinger', 'david binning', 'zhi tian', 'paulo costa', 'shanjiang zhu']","[0.09459544766274562, 0.05461920202486093, 0.05434149531768809, 0.04845963882358119, 0.047781848256749665, 0.04109589041095891, 0.04014478229518502, 0.03859725463152179, 0.03650191169509953, 0.03467885842848313]"
23,computational fluid dynamics,"['lap fai craig yu', 'jyh ming lien', 'zoran duric', 'md tanvir arafin', 'maryam parsa', 'hoda hassan', 'kenneth pasiah', 'sean luke', 'gregory stein', 'filipe veiga']","[0.1404878717372541, 0.12361284651454937, 0.06748819059987712, 0.0468292905790847, 0.042601432284230495, 0.03689392259574613, 0.03269038851817778, 0.0324442842261525, 0.03136507342239028, 0.025373438144456528]"
24,multiscale transport engineering,"['ilhan izmirli', 'david binning', 'paulo costa', 'shima mohebbi', 'pilgyu kang', 'md tanvir arafin', 'shanjiang zhu', 'jyh ming lien', 'wenying ji', 'maryam parsa']","[0.1462388451435308, 0.12243848111540882, 0.11787671385814781, 0.11787671385814781, 0.10432810619146018, 0.10286889997472794, 0.10265701736053082, 0.10182663499531958, 0.10079052613579392, 0.09943050756534282]"
25,multiscale tribology contact mechanics,"['lap fai craig yu', 'zhi tian', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'jill nelson', 'mohamed ibrahem', 'filipe veiga', 'gregory stein', 'maryam parsa', 'jyh ming lien']","[0.1458029608799511, 0.11596486615584936, 0.11404880781081667, 0.08872271477258839, 0.08537347209531382, 0.08081220356417686, 0.07900018051561872, 0.07324134932407106, 0.07295173999812751, 0.06414475072384818]"
26,nanomaterials photonics synthesis,"['wenying ji', 'paulo costa', 'david lattanzi', 'david kepplinger', 'filipe veiga', 'kuochu chang', 'hoda hassan', 'ilhan izmirli', 'gregory stein', 'zhi tian']","[0.04714045207910316, 0.02756589232099856, 0.026499947000158997, 0.0206901472150592, 0.019551547175144374, 0.019076189842912893, 0.018952451089472584, 0.013679391379114569, 0.012084206113070794, 0.008968700041677189]"
27,applied probability statistics,"['kenneth pasiah', 'david lattanzi', 'ilhan izmirli', 'gregory stein', 'mohamed ibrahem', 'shima mohebbi', 'kuochu chang', 'zoran duric', 'peggy brouse', 'pilgyu kang']","[0.17185435071243021, 0.16949423051458826, 0.15165571414947138, 0.09790173319603053, 0.0959403223600247, 0.08815601984727771, 0.07727408945704832, 0.07391404949863534, 0.07385489458759964, 0.07282190812544191]"
28,optimization techniques,"['kenneth pasiah', 'paulo costa', 'zoran duric', 'jyh ming lien', 'ilhan izmirli', 'mohamed ibrahem', 'gregory stein', 'david binning', 'filipe veiga', 'shanjiang zhu']","[0.08078656110642701, 0.04420376769680543, 0.03706246583305506, 0.03394221166510653, 0.02924776902870617, 0.026726124191242435, 0.02583711946644009, 0.021606790785072147, 0.020901483117353754, 0.013998684185526933]"
29,simulation,"['lap fai craig yu', 'omoche cheche agada', 'md tanvir arafin', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'ilhan izmirli', 'robert simon', 'filipe veiga', 'shanjiang zhu']","[0.1636634176769943, 0.08709382882250234, 0.08183170883849716, 0.07862136275414389, 0.0716335318826566, 0.06800640801679171, 0.06204388744432805, 0.05698028822981897, 0.044338741347410934, 0.03959425806109991]"
30,statistical modeling,"['david kepplinger', 'shima mohebbi', 'kenneth pasiah', 'md tanvir arafin', 'david lattanzi', 'shanjiang zhu', 'filipe veiga', 'gregory stein', 'ilhan izmirli', 'omoche cheche agada']","[0.07741544216066654, 0.07367294616134239, 0.06732213425535584, 0.057863756235784464, 0.04249445247525551, 0.0419960525565808, 0.04180296623470751, 0.03875567919966014, 0.036559711285882715, 0.020528212319963927]"
31,stochastic modeling,"['shima mohebbi', 'kenneth pasiah', 'md tanvir arafin', 'david kepplinger', 'david lattanzi', 'shanjiang zhu', 'filipe veiga', 'gregory stein', 'omoche cheche agada', 'hoda hassan']","[0.07502485610105729, 0.0685575058158106, 0.05892556509887897, 0.04504915855996573, 0.04327423224079155, 0.042766686606638946, 0.042570057120940065, 0.03946685189819292, 0.020904908186302164, 0.020632815353005762]"
32,systems engineering,"['md tanvir arafin', 'pilgyu kang', 'jyh ming lien', 'david lattanzi', 'shima mohebbi', 'gregory stein', 'david kepplinger', 'lap fai craig yu', 'paulo costa', 'ilhan izmirli']","[0.12738116634126703, 0.0956948752938691, 0.0747203222080077, 0.07275894061853055, 0.059467278899925424, 0.05687778717860789, 0.0568074039016046, 0.056613851707229795, 0.054061162636295845, 0.053654987366290846]"
33,civilian government ngos,"['shanjiang zhu', 'filipe veiga', 'david binning', 'hoda hassan', 'david lattanzi', 'zhi tian', 'jill nelson', 'sara lynn gopalkrishna', 'ilhan izmirli', 'quentin sanders']","[0.06465715266251626, 0.06033738452133304, 0.03742405942825599, 0.035093120317179816, 0.032712244767539374, 0.027678009224718872, 0.026082026547865053, 0.025717224993681988, 0.02532931098287926, 0.023034199502703273]"
34,education,"['sara lynn gopalkrishna', 'pei dong', 'omoche cheche agada', 'quentin sanders', 'mohamed ibrahem', 'nathalia peixoto', 'sai manoj pudukotai dinakarrao', 'shima mohebbi', 'robert simon', 'ilhan izmirli']","[0.09259731658395268, 0.08726388882593229, 0.0853482844647036, 0.07539711628132278, 0.07071067811865475, 0.06734350297014738, 0.06446236963220073, 0.061260663795999676, 0.060914490387317256, 0.06080039684196789]"
35,energy,"['kenneth pasiah', 'maryam parsa', 'pei dong', 'quentin sanders', 'shima mohebbi', 'shanjiang zhu', 'nathalia peixoto', 'jill nelson', 'sara lynn gopalkrishna', 'david kepplinger']","[0.06759088635889995, 0.058722021951470346, 0.05795005569646919, 0.05006958945608438, 0.049311367272153794, 0.04684855792842043, 0.044721359549995794, 0.03779644730092272, 0.0372677996249965, 0.037011660509880265]"
36,finance,"['wenying ji', 'nora mcdonald', 'shanjiang zhu', 'jill nelson', 'david binning', 'sai manoj pudukotai dinakarrao', 'pei dong', 'filipe veiga', 'omoche cheche agada', 'hoda hassan']","[0.09701425001453319, 0.06171480966264901, 0.05389680556362954, 0.02898855178262242, 0.0277296776935901, 0.016837068887766544, 0.014815221273648994, 0.013412250711537102, 0.013172726966270861, 0.013001274187308594]"
37,humanities,"['lap fai craig yu', 'zoran duric', 'ilhan izmirli', 'nora mcdonald', 'wenying ji', 'shima mohebbi', 'david lattanzi', 'shanjiang zhu', 'gregory stein', 'sara lynn gopalkrishna']","[0.09622504486493764, 0.04622501635210244, 0.04559797126371523, 0.03998400959360448, 0.03142696805273545, 0.018377261547332376, 0.017666631333439334, 0.017459426695964137, 0.01611227481742773, 0.013888888888888892]"
38,manufacturing,"['david lattanzi', 'hoda hassan', 'quentin sanders', 'pei dong', 'gregory stein', 'ilhan izmirli', 'kenneth pasiah', 'pilgyu kang', 'omoche cheche agada', 'paulo costa']","[0.09369146112448268, 0.04020422005641731, 0.03958348604769447, 0.030542361089076306, 0.025634472263424874, 0.01934558081335342, 0.017811762496977412, 0.017251638983558856, 0.013578136164839211, 0.009746014694818131]"
39,national security,"['mohamed ibrahem', 'peggy brouse', 'filipe veiga', 'maryam parsa', 'hoda hassan', 'pei dong', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'quentin sanders']","[0.11111677990074317, 0.10497813183356478, 0.055300126360933094, 0.05305581090772911, 0.04594768006447692, 0.043631944412966146, 0.04071259999309123, 0.03966915054289275, 0.038539723420358996, 0.03769855814066139]"
40,sports,"['peggy brouse', 'zhi tian', 'kenneth pasiah', 'mohamed ibrahem', 'gregory stein', 'jill nelson', 'hoda hassan', 'nathalia peixoto', 'maryam parsa', 'shima mohebbi']","[0.06172133998483676, 0.028763830937743894, 0.026928853702142336, 0.026726124191242435, 0.02583711946644009, 0.02258769757263128, 0.020261022461827694, 0.017817416127494958, 0.017546560158589908, 0.014734589232268476]"
41,transportation,"['shanjiang zhu', 'zoran duric', 'pei dong', 'kenneth pasiah', 'mohamed ibrahem', 'quentin sanders', 'gregory stein', 'maryam parsa', 'sai manoj pudukotai dinakarrao', 'peggy brouse']","[0.10196254838691632, 0.06748819059987712, 0.056055185467121044, 0.04903558277726667, 0.048666426339228755, 0.04843239733753049, 0.047047610133585424, 0.042601432284230495, 0.03981568186671046, 0.037463432463267755]"
