,Category,top10,top10_scores
15,internet things,"['lap fai craig yu', 'mohamed ibrahem', 'zhi tian', 'robert simon', 'hoda hassan', 'kuochu chang', 'md tanvir arafin', 'zoran duric', 'omoche cheche agada', 'filipe veiga']","[0.23145502494313788, 0.14699368305183338, 0.1294372392198475, 0.12087344460380703, 0.10130511230913847, 0.09176987139073335, 0.07715167498104596, 0.07412493166611012, 0.06158463695989178, 0.05225370779338438]"
16,mobile,"['shanjiang zhu', 'robert simon', 'jyh ming lien', 'ilhan izmirli', 'gregory stein', 'filipe veiga', 'zoran duric', 'david lattanzi', 'pei dong', 'sara lynn gopalkrishna']","[0.06625386599999376, 0.04767312946227961, 0.04016096644512494, 0.03460642701029913, 0.030570892025787152, 0.024730968341474896, 0.021926450482675733, 0.016760038078849772, 0.013658959117703826, 0.013176156917368249]"
17,wireless,"['zhi tian', 'jill nelson', 'shima mohebbi', 'peggy brouse', 'pilgyu kang', 'sai manoj pudukotai dinakarrao', 'nathalia peixoto', 'david binning', 'kuochu chang', 'maryam parsa']","[0.20293851577273636, 0.13944333775567924, 0.12994686259757507, 0.10886621079036347, 0.09200874124564723, 0.08099118235840605, 0.0785674201318386, 0.07622159339667059, 0.07194081705133679, 0.06189844605901729]"
18,5g,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,next g communications networks,"['ilhan izmirli', 'david binning', 'nora mcdonald', 'shima mohebbi', 'kuochu chang', 'david lattanzi', 'omoche cheche agada', 'zoran duric', 'sai manoj pudukotai dinakarrao', 'peggy brouse']","[0.16721466794606876, 0.15667199731347392, 0.1519918378893157, 0.14382482121044857, 0.13934181365211795, 0.13431288122299354, 0.12595098753833317, 0.12403473458920847, 0.12074068598865938, 0.12049281521534186]"
20,network architecture,"['md tanvir arafin', 'lap fai craig yu', 'shima mohebbi', 'peggy brouse', 'zoran duric', 'pilgyu kang', 'david binning', 'wenying ji', 'sai manoj pudukotai dinakarrao', 'hoda hassan']","[0.19153271942071848, 0.17025130615174974, 0.16257476347853142, 0.15322617553657475, 0.10223260251369135, 0.10072203103706698, 0.09535980531362022, 0.0834057656228299, 0.07961405068533428, 0.07824282095173177]"
21,biometrics,"['ilhan izmirli', 'shanjiang zhu', 'nora mcdonald', 'david lattanzi', 'mohamed ibrahem', 'jill nelson', 'david kepplinger', 'david binning', 'zhi tian', 'giacomo francisci']","[0.06701505774131555, 0.06415002990995841, 0.04897021068743918, 0.04327423224079155, 0.040824829046386304, 0.03450327796711772, 0.0337868689199743, 0.033004918099222486, 0.02929165167758312, 0.0]"
22,cryptography,"['omoche cheche agada', 'zoran duric', 'nora mcdonald', 'david kepplinger', 'hoda hassan', 'robert simon', 'jyh ming lien', 'paulo costa', 'shima mohebbi', 'pilgyu kang']","[0.15678681139726625, 0.11322770341445959, 0.09794042137487836, 0.0675737378399486, 0.061898446059017294, 0.06154574548966637, 0.05184758473652127, 0.04501491366063438, 0.04501491366063438, 0.039840953644479794]"
23,digital forensics analysis,"['kenneth pasiah', 'david kepplinger', 'shanjiang zhu', 'ilhan izmirli', 'zhi tian', 'peggy brouse', 'filipe veiga', 'david binning', 'sean luke', 'quentin sanders']","[0.16627920545178415, 0.16218595643634043, 0.16207221277543837, 0.15802320692825123, 0.15540853060837403, 0.15482774688560755, 0.13712799184499003, 0.125078198318565, 0.12377054955105521, 0.12317535692381826]"
24,leadership,"['paulo costa', 'pei dong', 'nathalia peixoto', 'jyh ming lien', 'david lattanzi', 'pilgyu kang', 'gregory stein', 'omoche cheche agada', 'hoda hassan', 'maryam parsa']","[0.07293249574894728, 0.06530231484483393, 0.025197631533948484, 0.024000768036865967, 0.020032077005375095, 0.01844277783908294, 0.018269602381046742, 0.014515638137083724, 0.01432670637653132, 0.012407291674636629]"
