,Category,top10,top10_scores
118,robust optimization,"['wenying ji', 'gregory stein', 'david binning', 'paulo costa', 'shima mohebbi', 'ilhan izmirli', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah']","[0.13333333333333333, 0.034179296351233165, 0.028583097523751475, 0.019492029389636262, 0.019492029389636262, 0.01934558081335342, 0.0, 0.0, 0.0, 0.0]"
119,stochastic optimization,"['kenneth pasiah', 'paulo costa', 'gregory stein', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka']","[0.10075854437197568, 0.02756589232099856, 0.02416841222614159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
120,rare event simulation,"['lap fai craig yu', 'zoran duric', 'ilhan izmirli', 'filipe veiga', 'omoche cheche agada', 'nora mcdonald', 'robert simon', 'david kepplinger', 'shanjiang zhu', 'sean luke']","[0.16012815380508716, 0.15384615384615385, 0.15175922164473118, 0.11929771760015351, 0.11716722982924391, 0.11644047432908021, 0.10453025125088636, 0.10329145848109994, 0.10168984784942875, 0.0970725343394151]"
121,simulation optimization,"['lap fai craig yu', 'omoche cheche agada', 'md tanvir arafin', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'ilhan izmirli', 'robert simon', 'filipe veiga', 'paulo costa']","[0.1404878717372541, 0.07476091374842406, 0.07024393586862705, 0.06748819059987712, 0.061489870992910214, 0.05837636572902504, 0.053258167433372805, 0.04891159880445184, 0.03806015721668479, 0.035774225816399684]"
122,model calibration,"['shima mohebbi', 'kenneth pasiah', 'filipe veiga', 'david kepplinger', 'omoche cheche agada', 'md tanvir arafin', 'shanjiang zhu', 'ilhan izmirli', 'david lattanzi', 'wenying ji']","[0.07049833762801419, 0.04685177146602606, 0.045456423857978476, 0.038482892144202245, 0.035715709359901024, 0.03355780276070122, 0.030444256908399497, 0.02544315115639402, 0.024644450124838728, 0.02191986497404764]"
123,time series modeling,"['filipe veiga', 'ilhan izmirli', 'gregory stein', 'david lattanzi', 'shima mohebbi', 'kenneth pasiah', 'nathalia peixoto', 'shanjiang zhu', 'paulo costa', 'md tanvir arafin']","[0.06620145833709438, 0.06175781727818336, 0.05182829146267736, 0.04785531283843694, 0.043557732421073164, 0.03980293530665182, 0.03385995887898602, 0.029558773498800817, 0.024890132812041808, 0.0244363204669153]"
124,nonparametric inference,"['david kepplinger', 'ilhan izmirli', 'kenneth pasiah', 'maryam parsa', 'paulo costa', 'zhi tian', 'david lattanzi', 'pilgyu kang', 'jill nelson', 'filipe veiga']","[0.07402332101976053, 0.04894087842323964, 0.0450605909059333, 0.044041516463602756, 0.024655683636076897, 0.024065547555594473, 0.02370227315699886, 0.02182178902359924, 0.01889822365046136, 0.017487435419566724]"
125,bayesian networks,"['peggy brouse', 'shima mohebbi', 'pilgyu kang', 'david binning', 'nathalia peixoto', 'maryam parsa', 'kuochu chang', 'zhi tian', 'sean luke', 'md tanvir arafin']","[0.18116432546313535, 0.1729957204361467, 0.13397282541141672, 0.11098534863604863, 0.09152086306448587, 0.09012958545930583, 0.0823052697533959, 0.07035627157549602, 0.05883484054145521, 0.056613851707229795]"
126,markov models,"['shima mohebbi', 'kenneth pasiah', 'filipe veiga', 'david kepplinger', 'md tanvir arafin', 'omoche cheche agada', 'david lattanzi', 'shanjiang zhu', 'wenying ji', 'zoran duric']","[0.06786253571934905, 0.04961007782261497, 0.04813258185482565, 0.04074849710853642, 0.03553345272593508, 0.028363801389869985, 0.026095343896982936, 0.02578928236380709, 0.02321035412742638, 0.017069718549972974]"
127,queueing theory,"['shima mohebbi', 'peggy brouse', 'david binning', 'ilhan izmirli', 'gregory stein', 'zoran duric', 'kuochu chang', 'david lattanzi', 'kenneth pasiah', 'mohamed ibrahem']","[0.09188630773666188, 0.07698003589195011, 0.06737100695453695, 0.05471756551645828, 0.04833682445228319, 0.04622501635210244, 0.0381523796858258, 0.03533326266687867, 0.03358618145732523, 0.03333333333333334]"
128,probabilistic ontologies,"['lap fai craig yu', 'omoche cheche agada', 'ilhan izmirli', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'robert simon', 'pilgyu kang', 'md tanvir arafin', 'maryam parsa']","[0.19364916731037088, 0.10305080798590895, 0.09788175684647929, 0.09302605094190636, 0.08475793795260128, 0.08046626711787301, 0.0674199862463242, 0.06546536707079771, 0.06454972243679029, 0.058722021951470346]"
129,acquisition decision support,"['ilhan izmirli', 'kenneth pasiah', 'nora mcdonald', 'wenying ji', 'shima mohebbi', 'david lattanzi', 'paulo costa', 'zoran duric', 'david binning', 'kuochu chang']","[0.08338965323677736, 0.08317626155536909, 0.07616961444546907, 0.07184212081070997, 0.07001743651280787, 0.06730993269037021, 0.06301569286152708, 0.06164112094668037, 0.0564704344997556, 0.053298927720053]"
130,model based systems engineering,"['pilgyu kang', 'kenneth pasiah', 'david lattanzi', 'md tanvir arafin', 'shima mohebbi', 'david binning', 'filipe veiga', 'david kepplinger', 'jyh ming lien', 'shanjiang zhu']","[0.10987195403000986, 0.1067663618171646, 0.105300111786658, 0.10514887802400749, 0.09858217409244023, 0.08566567549376475, 0.07768997059248714, 0.07673335448459831, 0.0672863110252489, 0.06590789044463773]"
131,system analysis simulation,"['shanjiang zhu', 'ilhan izmirli', 'david kepplinger', 'filipe veiga', 'kenneth pasiah', 'peggy brouse', 'zhi tian', 'david lattanzi', 'jyh ming lien', 'shima mohebbi']","[0.15760180961488338, 0.1477543140667957, 0.14047259716566918, 0.138775984399066, 0.1321527379381494, 0.12472191289246472, 0.12455104151123493, 0.12267091787827264, 0.11757927025044308, 0.11484475730525835]"
132,system enterprise architecture design,"['md tanvir arafin', 'lap fai craig yu', 'david lattanzi', 'gregory stein', 'pilgyu kang', 'sai manoj pudukotai dinakarrao', 'kenneth pasiah', 'david kepplinger', 'ilhan izmirli', 'shima mohebbi']","[0.2354332859151151, 0.17439502660378897, 0.1664957159306979, 0.12556577736410038, 0.11791255899014805, 0.11565523017266208, 0.10956683294441905, 0.1049947503937172, 0.09916827066520165, 0.09658835452616021]"
133,workforce development,"['wenying ji', 'gregory stein', 'pilgyu kang', 'david binning', 'maryam parsa', 'pei dong', 'ilhan izmirli', 'kenneth pasiah', 'paulo costa', 'shima mohebbi']","[0.08432740427115679, 0.0702548764396565, 0.06546536707079773, 0.0632713835304414, 0.058722021951470346, 0.05795005569646919, 0.05505848822614459, 0.0450605909059333, 0.04314744636313457, 0.04314744636313457]"
134,emergency response systems,"['david lattanzi', 'md tanvir arafin', 'pilgyu kang', 'jill nelson', 'filipe veiga', 'pei dong', 'quentin sanders', 'maryam parsa', 'gregory stein', 'kenneth pasiah']","[0.07346880075141467, 0.0714577438093787, 0.06763995415945231, 0.06694619270045783, 0.06194853246995756, 0.05987500393311581, 0.05912316498025297, 0.058505733842888666, 0.05743270556006762, 0.049882912571908966]"
135,humanitarian organizations human rights,"['gregory stein', 'lap fai craig yu', 'zoran duric', 'david lattanzi', 'kenneth pasiah', 'md tanvir arafin', 'ilhan izmirli', 'pilgyu kang', 'paulo costa', 'filipe veiga']","[0.09288103752413637, 0.09245003270420486, 0.06661733875264912, 0.0509206510688174, 0.048402839071117254, 0.04622501635210243, 0.03942820236086712, 0.039067269244874615, 0.035312603562810616, 0.03130753153188935]"
136,law enforcement,"['shima mohebbi', 'lap fai craig yu', 'peggy brouse', 'zoran duric', 'paulo costa', 'ilhan izmirli', 'david binning', 'nathalia peixoto', 'mohamed ibrahem', 'maryam parsa']","[0.0749093443218469, 0.06537204504606135, 0.06537204504606135, 0.06280742930213278, 0.05618200824138517, 0.05575989851872919, 0.04576958636509081, 0.04529108136578383, 0.04529108136578383, 0.044602577508753946]"
137,curricular development enhanced educational opportunities,"['ilhan izmirli', 'wenying ji', 'gregory stein', 'pilgyu kang', 'pei dong', 'david binning', 'david lattanzi', 'maryam parsa', 'kenneth pasiah', 'paulo costa']","[0.0957060437385161, 0.09547186805260417, 0.06674648055086839, 0.06288721857330794, 0.05566787420557909, 0.052096832747062435, 0.04879035716799439, 0.04835094770297239, 0.0463778792426114, 0.04060233726468733]"
138,engineering computing student learning methods effectiveness,"['ilhan izmirli', 'shima mohebbi', 'david kepplinger', 'david lattanzi', 'lap fai craig yu', 'filipe veiga', 'zoran duric', 'david binning', 'wenying ji', 'mohamed ibrahem']","[0.1262789298865754, 0.101787902317905, 0.09822728927011867, 0.0978518665483974, 0.09517337345336013, 0.09282174071016068, 0.09143961949493189, 0.09062317797602021, 0.08703378210242929, 0.08571946154145232]"
139,distance computer based learning,"['filipe veiga', 'david lattanzi', 'david binning', 'kenneth pasiah', 'ilhan izmirli', 'mohamed ibrahem', 'pilgyu kang', 'shanjiang zhu', 'shima mohebbi', 'zhi tian']","[0.11200525226971378, 0.11186048511760378, 0.10969086361906959, 0.10632945466952426, 0.09073881712989065, 0.09045340337332908, 0.08827348295047496, 0.0789632282798557, 0.0789585779528062, 0.07571661464306054]"
140,power system reliability,"['david lattanzi', 'ilhan izmirli', 'filipe veiga', 'kenneth pasiah', 'wenying ji', 'david binning', 'md tanvir arafin', 'shanjiang zhu', 'shima mohebbi', 'quentin sanders']","[0.14413853369703888, 0.1116074353983609, 0.10634479160720149, 0.09786534966019708, 0.09157370929912602, 0.08637618869578335, 0.08411582311380666, 0.08139885271033424, 0.07496821218501601, 0.07249613288755169]"
141,power system management,"['david lattanzi', 'ilhan izmirli', 'filipe veiga', 'kenneth pasiah', 'david binning', 'md tanvir arafin', 'wenying ji', 'shanjiang zhu', 'gregory stein', 'shima mohebbi']","[0.1406412547825725, 0.11727635104730222, 0.11174639994246767, 0.1028362587237159, 0.09076352477286184, 0.08838834764831846, 0.08660254037844388, 0.08553337321327789, 0.07893370379638585, 0.07877609890611016]"
142,power system security,"['filipe veiga', 'mohamed ibrahem', 'david lattanzi', 'kenneth pasiah', 'ilhan izmirli', 'md tanvir arafin', 'quentin sanders', 'david binning', 'maryam parsa', 'peggy brouse']","[0.14046246141930174, 0.12572371141874245, 0.1237478056010842, 0.11762899715909483, 0.10810321368828665, 0.10369516947304254, 0.10054215510334931, 0.09438148240495697, 0.09433332612731564, 0.09332565252573828]"
143,operational risk management,"['sean luke', 'david binning', 'peggy brouse', 'ilhan izmirli', 'gregory stein', 'david kepplinger', 'paulo costa', 'david lattanzi', 'kenneth pasiah', 'wenying ji']","[0.12060453783110543, 0.07312724241271307, 0.034815531191139566, 0.032995933501778416, 0.02914820186645445, 0.02495325642529748, 0.02493428777457038, 0.015980069302514825, 0.015189922095646322, 0.014213381090374027]"
144,portfolio optimization asset allocation,"['lap fai craig yu', 'md tanvir arafin', 'kenneth pasiah', 'kuochu chang', 'gregory stein', 'hoda hassan', 'nora mcdonald', 'omoche cheche agada', 'robert simon', 'quentin sanders']","[0.12500000000000003, 0.1041666666666667, 0.08725945907447254, 0.08260232505688625, 0.0767450161755678, 0.0765954191681715, 0.06925433610644438, 0.06651901052377394, 0.0652791209833867, 0.06463956203828577]"
145,regulation,"['filipe veiga', 'gregory stein', 'paulo costa', 'ilhan izmirli', 'maryam parsa', 'david lattanzi', 'sara lynn gopalkrishna', 'david binning', 'hoda hassan', 'quentin sanders']","[0.06182742085368724, 0.030570892025787152, 0.02615130164079025, 0.02595482025772435, 0.02076136996343499, 0.016760038078849772, 0.013176156917368249, 0.012782749814122842, 0.011986582537134603, 0.011801515411874573]"
146,linguistics,"['ilhan izmirli', 'nora mcdonald', 'shanjiang zhu', 'kuochu chang', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez']","[0.11056920413114861, 0.06925433610644438, 0.0604812282168686, 0.011013643340918165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
147,semiconductor manufacturing,"['david lattanzi', 'pei dong', 'pilgyu kang', 'maryam parsa', 'hoda hassan', 'quentin sanders', 'gregory stein', 'ilhan izmirli', 'filipe veiga', 'sai manoj pudukotai dinakarrao']","[0.09377289656890898, 0.05094818021126677, 0.04316658473017157, 0.038720154633118314, 0.03353263755074219, 0.033014909598285624, 0.02850750380624199, 0.024202994687341058, 0.02306174689086432, 0.02171292291418208]"
148,sustainable manufacturing,"['david lattanzi', 'hoda hassan', 'quentin sanders', 'pei dong', 'gregory stein', 'ilhan izmirli', 'kenneth pasiah', 'pilgyu kang', 'omoche cheche agada', 'paulo costa']","[0.09369146112448268, 0.04020422005641731, 0.03958348604769447, 0.030542361089076306, 0.025634472263424874, 0.01934558081335342, 0.017811762496977412, 0.017251638983558856, 0.013578136164839211, 0.009746014694818131]"
149,command,"['lap fai craig yu', 'omoche cheche agada', 'zoran duric', 'filipe veiga', 'hoda hassan', 'sara lynn gopalkrishna', 'ilhan izmirli', 'david lattanzi', 'robert simon', 'md tanvir arafin']","[0.14852213144650117, 0.09220908876389602, 0.07134772412317411, 0.06706125355768551, 0.06500637093654296, 0.05716619504750295, 0.05630391041109074, 0.05453644100254487, 0.05170876899950191, 0.04950737714883372]"
150,control,"['ilhan izmirli', 'david lattanzi', 'filipe veiga', 'david binning', 'quentin sanders', 'zoran duric', 'shanjiang zhu', 'wenying ji', 'david kepplinger', 'shima mohebbi']","[0.16530380909524497, 0.13847754317053293, 0.13409567993096116, 0.13201967239688991, 0.11579125071384097, 0.11322770341445956, 0.10264004785593346, 0.1000740466595351, 0.09460323297592801, 0.09453131868733217]"
151,communications,"['omoche cheche agada', 'nora mcdonald', 'sai manoj pudukotai dinakarrao', 'zhi tian', 'pilgyu kang', 'ilhan izmirli', 'paulo costa', 'gregory stein', 'nathalia peixoto', 'shanjiang zhu']","[0.1024127163523425, 0.0999600239840112, 0.081813448945636, 0.0657704669722994, 0.06506000486323556, 0.06383715976920132, 0.055131784641997125, 0.04833682445228319, 0.044444444444444446, 0.04364856673991034]"
152,computers,"['mohamed ibrahem', 'filipe veiga', 'zhi tian', 'jill nelson', 'omoche cheche agada', 'maryam parsa', 'sai manoj pudukotai dinakarrao', 'nathalia peixoto', 'kuochu chang', 'giacomo francisci']","[0.10690449676496974, 0.08360593246941501, 0.05752766187548779, 0.04517539514526256, 0.041056424639927855, 0.035093120317179816, 0.02623867676441928, 0.017817416127494958, 0.01019665237674815, 0.0]"
153,intelligence c4i  cyber,"['nora mcdonald', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'gregory stein', 'zhi tian', 'david binning', 'paulo costa', 'shima mohebbi']","[0.13850867221288876, 0.1330380210475479, 0.11336404025302715, 0.055068216704590826, 0.04376881095324086, 0.03488409826162173, 0.02589040691671667, 0.023338001400466834, 0.01591517535198076, 0.01591517535198076]"
154,life cycle maintenance analysis,"['ilhan izmirli', 'david kepplinger', 'gregory stein', 'shanjiang zhu', 'david lattanzi', 'zhi tian', 'filipe veiga', 'kenneth pasiah', 'quentin sanders', 'pilgyu kang']","[0.16317024459237994, 0.14606282226041237, 0.13237584555341397, 0.12113034333817434, 0.11611694995742754, 0.11571335297296817, 0.10946797275774159, 0.09811151575807339, 0.09539051339847823, 0.0950262193466398]"
155,intelligence strategic analysis,"['nora mcdonald', 'omoche cheche agada', 'shanjiang zhu', 'zhi tian', 'david kepplinger', 'ilhan izmirli', 'kuochu chang', 'peggy brouse', 'david binning', 'filipe veiga']","[0.16425107995440102, 0.15425782603427945, 0.15300674947979917, 0.15064568594593966, 0.1435444977386811, 0.13986020965061138, 0.12886433368797662, 0.12649110640673517, 0.11808198473867937, 0.11422744983416515]"
156,player team analytics,"['pilgyu kang', 'gregory stein', 'md tanvir arafin', 'nathalia peixoto', 'lap fai craig yu', 'shanjiang zhu', 'david kepplinger', 'sai manoj pudukotai dinakarrao', 'hoda hassan', 'zhi tian']","[0.10910894511799621, 0.10808442529177922, 0.09682458365518543, 0.07453559924999299, 0.06454972243679029, 0.05856069741052554, 0.0555174907648204, 0.05488212999484517, 0.05085476277156077, 0.048131095111188946]"
157,economics,"['omoche cheche agada', 'wenying ji', 'nora mcdonald', 'david kepplinger', 'hoda hassan', 'robert simon', 'sai manoj pudukotai dinakarrao', 'zoran duric', 'shima mohebbi', 'ilhan izmirli']","[0.10862508931871369, 0.1, 0.08481889296799709, 0.058520573598065284, 0.05360562674188974, 0.053300179088902604, 0.05206576008754674, 0.04902903378454601, 0.038984058779272523, 0.03869116162670684]"
158,safety security,"['mohamed ibrahem', 'md tanvir arafin', 'filipe veiga', 'maryam parsa', 'peggy brouse', 'sai manoj pudukotai dinakarrao', 'hoda hassan', 'quentin sanders', 'kenneth pasiah', 'sean luke']","[0.13749999999999998, 0.09021097956087903, 0.0782061887005775, 0.07385986848359394, 0.07216878364870322, 0.061360086709226984, 0.05685735326841775, 0.055979502814655684, 0.05037927218598784, 0.049999999999999996]"
159,emergency response,"['quentin sanders', 'zhi tian', 'jill nelson', 'pei dong', 'maryam parsa', 'filipe veiga', 'sean luke', 'pilgyu kang', 'david lattanzi', 'kenneth pasiah']","[0.07388917395569634, 0.06595501762613934, 0.05976143046671968, 0.048867777742522094, 0.046423834544262965, 0.044240101088746486, 0.042426406871192854, 0.041403933560541256, 0.02998126755983446, 0.028498819995163863]"
160,sustainability resilience,"['jyh ming lien', 'maryam parsa', 'pei dong', 'shima mohebbi', 'peggy brouse', 'kenneth pasiah', 'mohamed ibrahem', 'pilgyu kang', 'gregory stein', 'jill nelson']","[0.07332355751067667, 0.05685735326841776, 0.04987546680538165, 0.04774552605594228, 0.03333333333333334, 0.029086486358157512, 0.02886751345948129, 0.028171808490950558, 0.027907278609297384, 0.024397501823713332]"
161,system management,"['md tanvir arafin', 'david lattanzi', 'gregory stein', 'pilgyu kang', 'jyh ming lien', 'filipe veiga', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu', 'paulo costa']","[0.10206207261596578, 0.07495316889958614, 0.061522733432219694, 0.05520524474738834, 0.05388159060803248, 0.044240101088746486, 0.042748229992745794, 0.0416526080700374, 0.04082482904638631, 0.038984058779272523]"
162,modeling performance,"['shima mohebbi', 'gregory stein', 'md tanvir arafin', 'david lattanzi', 'kenneth pasiah', 'filipe veiga', 'david kepplinger', 'ilhan izmirli', 'shanjiang zhu', 'nathalia peixoto']","[0.05945013229601285, 0.04691064445683722, 0.04669296047735178, 0.04572100439634054, 0.04346029305428736, 0.04216595104627341, 0.03569721523499571, 0.03540208099548317, 0.03388857118502325, 0.021566554640687685]"
163,digital forensics,"['kenneth pasiah', 'nathalia peixoto', 'md tanvir arafin', 'maryam parsa', 'peggy brouse', 'kuochu chang', 'david lattanzi', 'sean luke', 'pilgyu kang', 'david binning']","[0.08592717535621511, 0.04264014327112209, 0.030772872744833188, 0.027994625547792716, 0.02461829819586655, 0.024402344039067894, 0.022599230735278433, 0.021320071635561044, 0.020806259464411975, 0.017236256333167305]"
164,modeling performance evaluation,"['shima mohebbi', 'gregory stein', 'md tanvir arafin', 'david lattanzi', 'kenneth pasiah', 'filipe veiga', 'david kepplinger', 'ilhan izmirli', 'shanjiang zhu', 'paulo costa']","[0.0545886011031926, 0.05264664676339532, 0.04287464628562721, 0.041982171857951237, 0.039906330057527174, 0.038717832793723476, 0.03277807748610647, 0.032507077832271816, 0.031117335200622438, 0.02183544044127704]"
165,wireless communications,"['zhi tian', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'shima mohebbi', 'omoche cheche agada', 'nathalia peixoto', 'nora mcdonald', 'jill nelson', 'kuochu chang', 'paulo costa']","[0.16487072138060674, 0.10957484783822541, 0.10251356592513194, 0.09410905372090403, 0.08068469078220401, 0.07878385971583354, 0.07875236506747693, 0.07768193328323317, 0.07013514034317737, 0.06515242180677971]"
166,iot security,"['mohamed ibrahem', 'filipe veiga', 'peggy brouse', 'maryam parsa', 'quentin sanders', 'pei dong', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'kenneth pasiah']","[0.19611613513818404, 0.09202497283106868, 0.09058216273156766, 0.07725393039369072, 0.0731898915931158, 0.06776741475716973, 0.06738873712008173, 0.06734067525277845, 0.05947010334500526, 0.059281128913143286]"
167,engineering education,"['omoche cheche agada', 'ilhan izmirli', 'sara lynn gopalkrishna', 'pei dong', 'shima mohebbi', 'david kepplinger', 'quentin sanders', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'hoda hassan']","[0.0921138915146704, 0.08202509859858535, 0.081199266307885, 0.07769961121154309, 0.07438143538812997, 0.0682348523457759, 0.06713345807010794, 0.06622751437646315, 0.06583212269714686, 0.0625040357730969]"
168,entrepreneurship innovation,"['nora mcdonald', 'pei dong', 'hoda hassan', 'peggy brouse', 'ilhan izmirli', 'kenneth pasiah', 'pilgyu kang', 'gregory stein', 'wenying ji', 'sara lynn gopalkrishna']","[0.05364417807858201, 0.03863337046431279, 0.03390317518104052, 0.025819888974716116, 0.02447043921161982, 0.02253029545296665, 0.02182178902359924, 0.021616885058355847, 0.021081851067789197, 0.01863389981249825]"
169,cyber security,"['mohamed ibrahem', 'filipe veiga', 'peggy brouse', 'maryam parsa', 'quentin sanders', 'pei dong', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'kenneth pasiah']","[0.19611613513818404, 0.09202497283106868, 0.09058216273156766, 0.07725393039369072, 0.0731898915931158, 0.06776741475716973, 0.06738873712008173, 0.06734067525277845, 0.05947010334500526, 0.059281128913143286]"
170,information security assurance,"['mohamed ibrahem', 'peggy brouse', 'sai manoj pudukotai dinakarrao', 'zhi tian', 'maryam parsa', 'david kepplinger', 'filipe veiga', 'hoda hassan', 'quentin sanders', 'paulo costa']","[0.1603567451474546, 0.07715167498104596, 0.07215636110215304, 0.07190957734435972, 0.07018624063435963, 0.06635609328057132, 0.06270444935206126, 0.060783067385483086, 0.05984460577553974, 0.058938356929073905]"
171,computer game technology,"['mohamed ibrahem', 'omoche cheche agada', 'filipe veiga', 'lap fai craig yu', 'shima mohebbi', 'jill nelson', 'maryam parsa', 'kenneth pasiah', 'pilgyu kang', 'hoda hassan']","[0.09205746178983235, 0.09192158354338738, 0.08639355873638198, 0.0797241005179101, 0.07612938237128875, 0.07002247996006618, 0.06648255309158703, 0.06492903093965596, 0.06288721857330794, 0.06280972351174041]"
172,virtual humans,"['lap fai craig yu', 'zoran duric', 'david lattanzi', 'gregory stein', 'jill nelson', 'david kepplinger', 'filipe veiga', 'maryam parsa', 'paulo costa', 'zhi tian']","[0.08333333333333336, 0.08006407690254358, 0.03059950306810523, 0.027907278609297384, 0.024397501823713332, 0.023890924128374832, 0.022576182049286547, 0.018952451089472588, 0.01591517535198076, 0.010356162766686668]"
173,hardware security,"['mohamed ibrahem', 'hoda hassan', 'lap fai craig yu', 'md tanvir arafin', 'david kepplinger', 'filipe veiga', 'omoche cheche agada', 'maryam parsa', 'pilgyu kang', 'zoran duric']","[0.1886484436567597, 0.1560152902477031, 0.14852213144650117, 0.1237684428720843, 0.11354659116073192, 0.10729800569229682, 0.10538181573016689, 0.10133490354998512, 0.10041928905068678, 0.09513029883089882]"
174,memory systems,"['david lattanzi', 'md tanvir arafin', 'gregory stein', 'jyh ming lien', 'pilgyu kang', 'shanjiang zhu', 'sai manoj pudukotai dinakarrao', 'paulo costa', 'kenneth pasiah', 'maryam parsa']","[0.07275894061853055, 0.07076731463403724, 0.05687778717860789, 0.049813548138671795, 0.04784743764693454, 0.046225016352102424, 0.04332133100576683, 0.04324893010903667, 0.03952075260876219, 0.03862696519684536]"
175,cognitive simulations,"['lap fai craig yu', 'omoche cheche agada', 'md tanvir arafin', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'ilhan izmirli', 'robert simon', 'maryam parsa', 'filipe veiga']","[0.15309310892394865, 0.08146881698903527, 0.07654655446197432, 0.07354355067681902, 0.06700703342736217, 0.06361416972599782, 0.05803674244006026, 0.053300179088902604, 0.046423834544262965, 0.04147509477069983]"
176,neuronal morphology,"['ilhan izmirli', 'nora mcdonald', 'shanjiang zhu', 'jyh ming lien', 'maryam parsa', 'zhi tian', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah']","[0.08774330708611851, 0.06411705636375013, 0.05599473674210773, 0.03394221166510653, 0.017546560158589908, 0.00958794364591463, 0.0, 0.0, 0.0, 0.0]"
177,network connectivity,"['peggy brouse', 'shima mohebbi', 'pilgyu kang', 'david binning', 'kuochu chang', 'zoran duric', 'wenying ji', 'nathalia peixoto', 'maryam parsa', 'sean luke']","[0.20655911179772893, 0.19724546908861518, 0.1091089451179962, 0.1084652289093281, 0.10237357737706625, 0.09302605094190636, 0.08432740427115679, 0.07453559924999299, 0.07340252743933794, 0.0670820393249937]"
178,neuroinformatics,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
179,neuroscience,"['peggy brouse', 'shima mohebbi', 'david binning', 'kuochu chang', 'pilgyu kang', 'ilhan izmirli', 'md tanvir arafin', 'zoran duric', 'maryam parsa', 'nora mcdonald']","[0.1885618083164127, 0.1800596546425375, 0.09901475429766746, 0.09345386270319958, 0.07968190728895959, 0.06701505774131555, 0.058925565098878974, 0.056613851707229795, 0.05360562674188975, 0.04897021068743918]"
180,computational neuroanatomy,"['lap fai craig yu', 'peggy brouse', 'shima mohebbi', 'md tanvir arafin', 'zoran duric', 'maryam parsa', 'sean luke', 'david binning', 'filipe veiga', 'hoda hassan']","[0.3061862178478973, 0.16329931618554522, 0.1559362351170901, 0.15309310892394865, 0.14708710135363803, 0.11605958636065741, 0.10606601717798213, 0.08574929257125442, 0.08295018954139965, 0.0804084401128346]"
181,cloud security,"['mohamed ibrahem', 'david lattanzi', 'pei dong', 'sai manoj pudukotai dinakarrao', 'david binning', 'filipe veiga', 'peggy brouse', 'maryam parsa', 'kenneth pasiah', 'kuochu chang']","[0.10540925533894598, 0.06704015231539909, 0.06374180921595118, 0.05174336838042219, 0.051130999256491366, 0.04946193668294979, 0.04868644955601477, 0.04844319658134832, 0.04248353252514441, 0.040216139320916264]"
182,applied cryptography,"['david lattanzi', 'gregory stein', 'kenneth pasiah', 'zoran duric', 'ilhan izmirli', 'pilgyu kang', 'shima mohebbi', 'omoche cheche agada', 'mohamed ibrahem', 'david kepplinger']","[0.17988760535900675, 0.13671718540493263, 0.12824468997823738, 0.11766968108291043, 0.11607348488012054, 0.11041048949477668, 0.09356174107025406, 0.08690007145497096, 0.08485281374238571, 0.08192880303729141]"
183,power aware computing,"['ilhan izmirli', 'zoran duric', 'david lattanzi', 'quentin sanders', 'david binning', 'filipe veiga', 'wenying ji', 'shima mohebbi', 'shanjiang zhu', 'lap fai craig yu']","[0.2388070341170243, 0.1966989481173608, 0.19661392587517057, 0.18730784467700076, 0.1852396434087371, 0.17919288976719827, 0.1645902399595647, 0.16241501334854297, 0.1600182888495768, 0.157485197087178]"
184,parallel distributed systems,"['kenneth pasiah', 'david lattanzi', 'md tanvir arafin', 'ilhan izmirli', 'gregory stein', 'filipe veiga', 'kuochu chang', 'jyh ming lien', 'pei dong', 'david binning']","[0.08015293123639836, 0.07495316889958614, 0.0637887953849786, 0.06287313764339861, 0.05554135657075389, 0.0553001263609331, 0.05058338698922118, 0.04490132550669373, 0.038177951361345386, 0.03572887190468935]"
