names,ProfileLinks,topics,citations,titles
Kenneth Button,https://scholar.google.com//citations?hl=en&user=G_6CBkUAAAAJ,Transportation Economics,14415,George Mason University
Adam Winsler,https://scholar.google.com//citations?hl=en&user=_Ekthu4AAAAJ,"Early Childhood Education, Self-Regulation, Private Speech, Bilingual Language Development",14235,George Mason University
Daniel Menasce,https://scholar.google.com//citations?hl=en&user=ONloO5IAAAAJ,"autonomic computing, software performance engineering, computer system performance evaluation, service oriented architectures, security",14061,"Professor of Computer Science, George Mason University"
Yariv Ephraim,https://scholar.google.com//citations?hl=en&user=_t8HqkYAAAAJ,,13925,George Mason University
Germaine M. Buck Louis,https://scholar.google.com//citations?hl=en&user=dOGrrEYAAAAJ,"environment, epidemiology, public health, reproduction and development",13862,Former Dean & Professor George Mason University
Peter Boettke,https://scholar.google.com//citations?hl=en&user=W-tVpX8AAAAJ,"History of economic thought, comparative political economy, Austrian Economics",13754,"University Professor of Economics & Philosophy, George Mason University"
Frank Krueger,https://scholar.google.com//citations?hl=en&user=6auUco0AAAAJ,Social Cognition & Interaction,13497,"Professor, School of Systems Biology, George Mason University"
Juan Cebral,https://scholar.google.com//citations?hl=en&user=Q787eMAAAAAJ,"blood flow, aneurysms, computational fluid dynamics",12930,George Mason University
"Ancha Baranova, Анча Баранова",https://scholar.google.com//citations?hl=en&user=nzc5N8sAAAAJ,"Human Genetics, Personalized Medicine, Biomarkers, Bioinformatics, Systems Biology",12852,"Professor, School of Systems Biology, George Mason University"
Timothy Sauer,https://scholar.google.com//citations?hl=en&user=O4H_dNQAAAAJ,"Mathematics, Dynamical Systems",12812,"Professor of Mathematics, George Mason University"
lilian de Jonge,https://scholar.google.com//citations?hl=en&user=_4rRAzQAAAAJ,"energy metabolism, obesity, sleep and circadian rhythm",12755,George Mason University Department of Nutrition and Food Studies
Robert Lipsky,https://scholar.google.com//citations?hl=en&user=uBB1MF8AAAAJ,"Neuroscience, Genetics, Epigenetics",12600,George Mason University
David WS Wong,https://scholar.google.com//citations?hl=en&user=3h3zNK8AAAAJ,,12499,George Mason University
Thomas Lovejoy,https://scholar.google.com//citations?hl=en&user=R7CbndQAAAAJ,Environmental Science and Policy,12468,"Professor of Environmental Science and Policy, George Mason University"
Michael A. Clemens,https://scholar.google.com//citations?hl=en&user=DdtBDnkAAAAJ,"International Migration, Economic Development, Impact Evaluation, Economic History",12466,George Mason University & Peterson Institute for International Economics
Dieter Bilitza,https://scholar.google.com//citations?hl=en&user=xXRBlQ4AAAAJ,ionospheric physics,12361,"Professor of Physics, George Mason University"
Monson Hayes,https://scholar.google.com//citations?hl=en&user=rmCtisEAAAAJ,"Signal, Image, and Video Processing, and Machine Learning",12197,"Professor and Chair, Department of Electrical and Computer Engineering, George Mason …"
Sean Luke,https://scholar.google.com//citations?hl=en&user=jwxhFAQAAAAJ,"Robotics, Artificial Intelligence, Machine Learning, Multiagent Systems, Genetic Programming",12173,"Department of Computer Science, George Mason University"
Russell Abratt,https://scholar.google.com//citations?hl=en&user=NM6y8GMAAAAJ,"Brands, Brand Management, Corporate Identity, Marketing",12104,"Professor of Marketing, George Mason University"
Daniel Barbara,https://scholar.google.com//citations?hl=en&user=wtZwMSgAAAAJ,"Data Mining, Machine Learning",11994,"Professor of Computer Science, George Mason University"
