names,ProfileLinks,topics,citations,titles
Jennifer R. Warren,https://scholar.google.com//citations?hl=en&user=KDxiWY8AAAAJ,"Communication and Identities, Health Disparities, Heath Inequities, Chronic Disease, Community Health",1256,George Mason University
Vivian Genaro Motti,https://scholar.google.com//citations?hl=en&user=MHEqjDYAAAAJ,"Human-Computer Interaction, Ubiquitous Computing, Wearable Computing, Healthcare IT",1254,"Assistant Professor, George Mason University"
Scott D. Eldridge,https://scholar.google.com//citations?hl=en&user=SPRpHcEAAAAJ,"Privacy, Agent-Based Modeling, Computational Social Science, Social Norms, Tech Policy",1252,"PhD Student, Computational Social Science, George Mason Univ."
Michael Eagle,https://scholar.google.com//citations?hl=en&user=UPVSnPIAAAAJ,"Data Science, Artificial Intelligence, Learning Engineering, Learning Analytics, Serious Games",1250,George Mason University
Natalie Jacqueline Burls,https://scholar.google.com//citations?hl=en&user=02GKaoUAAAAJ,,1245,George Mason University
Maren Strenziok,https://scholar.google.com//citations?hl=en&user=Smu7Y_4AAAAJ,"cognitive neuroscience, social neuroscience, aggression, development, aging",1239,"Postdoctoral Researcher, Psychology, George Mason University"
Trevor Thrall,https://scholar.google.com//citations?hl=en&user=_Lv8iBMAAAAJ,"international security, war, media, political communication, public opinion",1227,"Associate Professor of Government and Politics, George Mason University"
Daniel Hanley,https://scholar.google.com//citations?hl=en&user=uOEiBiIAAAAJ,"Animal Behavior, Behavioral Ecology, Color Perception, Evolution, Ornithology",1227,George Mason University
Yun Li,https://scholar.google.com//citations?hl=en&user=qFLHrXwAAAAJ,"spatiotemporal computation and data mining, data discovery",1220,George Mason University
Zafer Boybeyi,https://scholar.google.com//citations?hl=en&user=5g_oYj0AAAAJ,"Numerical weather prediction, hazard prediction, atmospheric dynamics and physics",1207,"Associate Professor of Atmospheric Science, George Mason University"
Geraldine Grant,https://scholar.google.com//citations?hl=en&user=5IY7x8UAAAAJ,"Fibrosis, IPF, Model systems, 3D culture",1203,"GMU  Chair, Dept. Biology"
Alan Abramson,https://scholar.google.com//citations?hl=en&user=bzzSx2UAAAAJ,"nonprofit organizations, philanthropy, federal budgeting",1188,George Mason University
Allison Ward Parsons,https://scholar.google.com//citations?hl=en&user=BBdUNzsAAAAJ,"Vocabulary Development, Literacy Coaching, Teacher Professional Development, Motivation and Engagement",1184,George Mason University
Ali Beheshti,https://scholar.google.com//citations?hl=en&user=59hB3jwAAAAJ,"Tribology, High Temperature Materials, Surface Engineering, Nanoindentation/Scratch, Additive Manufacturing",1175,"Assistant Professor, George Mason University"
Ganga P Purja Pun,https://scholar.google.com//citations?hl=en&user=uZv71p0AAAAJ,Computational Physics,1160,George Mason University
Bob Sachs,https://scholar.google.com//citations?hl=en&user=uZo15ScAAAAJ,"Nonlinear PDEs, Hamiltonian systems, undergraduate education",1160,"Professor of Mathematics, George Mason University"
Shahron Williams van Rooij,https://scholar.google.com//citations?hl=en&user=IyyPhZkAAAAJ,"open source, distance learning, instructional design, project management, workplace learning",1158,George Mason University
Brittany L Sutherland,https://scholar.google.com//citations?hl=en&user=A4xRRB4AAAAJ,"Polyploidy, Evolutionary Biology, Botany",1156,"Assistant Professor, George Mason University"
Hao Jing,https://scholar.google.com//citations?hl=en&user=T7lMSFsAAAAJ,"plasmonic nanostructures, upconversion nanoparticles, photocatalysis, SERS, plasmonic coupling",1156,"Assistant Professor of Chemistry, George Mason University"
Fei Li,https://scholar.google.com//citations?hl=en&user=ql6BXwcAAAAJ,"Algorithms, Scheduling",1140,"Associate Professor of Computer Science, George Mason University"
Timothy A. Gibson,https://scholar.google.com//citations?hl=en&user=C9P2TSQAAAAJ,"Media, communication, urban studies",1138,"Department of Communication, George Mason University"
Elizabeth W Freeman,https://scholar.google.com//citations?hl=en&user=pQZ9kUvhsUEC,Conservation Biology,1128,George Mason University
Jeffrey L. Moran,https://scholar.google.com//citations?hl=en&user=bSPLG-0AAAAJ,"active colloids, fluid mechanics, electrokinetics, electroporation, transport phenomena",1125,George Mason University
Meixia Deng,https://scholar.google.com//citations?hl=en&user=KyoC_QwAAAAJ,"geospatial information science and …, data and computational science, remote sensing, GIS standard, information techno",1125,George Mason University
Rosemarie Zagarri,https://scholar.google.com//citations?hl=en&user=whh3ZpAAAAAJ,Early American History,1124,"University Professor and Professor of History, George Mason University"
Khaled N. Khasawneh,https://scholar.google.com//citations?hl=en&user=GEZeHMEAAAAJ,"Hardware support for security, malware detection, adversarial machine learning, side channel, covert channel",1124,"Assistant Professor, George Mason University"
Tyrus Berry,https://scholar.google.com//citations?hl=en&user=Csl4Wi8AAAAJ,"Dynamical systems, geometry of data, uncertainty quantification, harmonic analysis",1123,George Mason University
Elisa M. Torres,https://scholar.google.com//citations?hl=en&user=CaGAO10AAAAJ,"Leadership, climate, team dynamics, multiteam systems, emergent states",1121,George Mason University
Mihai Boicu,https://scholar.google.com//citations?hl=en&user=SusWLtsAAAAJ,"Artifiicial Intelligence, Intelligence Analysis, Education",1120,George Mason University
Peter J. Balint,https://scholar.google.com//citations?hl=en&user=Psm4BdwAAAAJ,environmental policy,1110,George Mason University
Maryam Heidari,https://scholar.google.com//citations?hl=en&user=LwsLfbsAAAAJ,"Natural language processing, Machine Learning, Deep Learning, Social Computing",1105,George Mason University
carol j kaffenberger,https://scholar.google.com//citations?hl=en&user=QEUfblwAAAAJ,"school counselors, using data, school reentry",1104,"Associate Professor Emerita, George Mason University"
Wing Lam,https://scholar.google.com//citations?hl=en&user=OXYaXQsAAAAJ,,1103,George Mason University
Wassim Itani,https://scholar.google.com//citations?hl=en&user=vuUUR9YAAAAJ,"Privacy in Cloud Computing, Energy Efficiency in the Cloud, Security and Cryptography",1093,"Associate Professor of Computer Science, George Mason University"
Pilgyu Kang,https://scholar.google.com//citations?hl=en&user=Mcuwu0UAAAAJ,"mechanics, photonics, 2D materials, optoelectronics plasmonics, optofluidics",1080,George Mason University
Rajiv Satsangi,https://scholar.google.com//citations?hl=en&user=xMpHAlwAAAAJ,"Mathematics, Technology, Learning Disabilities",1071,George Mason University
Terry Myers Zawacki,https://scholar.google.com//citations?hl=en&user=vAF54TIAAAAJ,https://scholar.google.com/citations?hl …,1070,emerita professor George Mason University
Jeremy Mayer,https://scholar.google.com//citations?hl=en&user=Hh8h9I8AAAAJ,"Political Science, Public Opinion, Elections",1069,"George Mason University, School of Public Policy"
Kristien Zenkov,https://scholar.google.com//citations?hl=en&user=omFHxAIAAAAJ,"Teacher education, visual sociology, social justice education, English education",1068,George Mason University
Jill Nelson,https://scholar.google.com//citations?hl=en&user=8zxSGcgAAAAJ,Signal Processing,1067,George Mason University
Emanuela Marasco,https://scholar.google.com//citations?hl=en&user=moyHyGsAAAAJ,"Pattern Recognition, Machine Learning, Biometrics, Computer Vision",1058,"Assistant Professor, George Mason University"
James C. Cooper,https://scholar.google.com//citations?hl=en&user=nYEyFMYAAAAJ,"Privacy, Antitrust, Law & Economics",1058,"Antonin Scalia Law School, George Mason University"
Fangyu Cao,https://scholar.google.com//citations?hl=en&user=ol3QBMQAAAAJ,"thermal management, thermal storage, nanoscale heat transfer, phase transition, desalination",1057,George Mason university
Iccha Basnyat,https://scholar.google.com//citations?hl=en&user=WX6nWboAAAAJ,"gender and health, health inequalities, global health communication, information seeking, pandemic",1052,George Mason University
Michael P. Gilmore,https://scholar.google.com//citations?hl=en&user=B5zNqbsAAAAJ,"Ethnobiology, biocultural conservation, community-based conservation, and sustainable development",1049,"Associate Professor, George Mason University"
Rajesh Ganesan,https://scholar.google.com//citations?hl=en&user=S6MvM_UAAAAJ,Stochastic optimization,1039,George Mason University
Vincent Geloso,https://scholar.google.com//citations?hl=en&user=yw4XCKsAAAAJ,"Economic History, Public Choice Theory, Political Economy, Economic Growth",1027,"Assistant Professor of Economics, George Mason University"
Martha W. Buckley,https://scholar.google.com//citations?hl=en&user=8euBTz4AAAAJ,"oceanography, climate",1026,George Mason University
Yue WANG,https://scholar.google.com//citations?hl=en&user=aePNtVgAAAAJ,"Machine Learning, Signal Processing, Wireless Communications, NextG wireless techniques, Trustworthy AI",1024,"Electrical and Computer Engineering, George Mason University"
Jia Guo,https://scholar.google.com//citations?hl=en&user=xKg6MZkAAAAJ,"Molecular & Cellular Biology, Neuroscience, Virology, Cell Biology, Immunology",1023,"Research Assistant Professor, George Mason University"
"Ekawat Homsirikamol, PhD",https://scholar.google.com//citations?hl=en&user=JaY1brsAAAAJ,"Computer Engineering, Algorithms, Design Automation",1020,George Mason University
Audra Parker,https://scholar.google.com//citations?hl=en&user=Stc61YoAAAAJ,teacher education,1020,George Mason University
Mary Nelson,https://scholar.google.com//citations?hl=en&user=AmXA6YsAAAAJ,math education,1020,"Professor of Mathematics, GMU"
Laurie Meamber,https://scholar.google.com//citations?hl=en&user=uKecDegAAAAJ,Arts and aesthetics marketing and …,1005,George Mason University
Parag V. Chitnis,https://scholar.google.com//citations?hl=en&user=kVkXPvIAAAAJ,Diagnostic and therapeutic applications of …,1003,"Department of Bioengineering, George Mason University"
Jennifer Nicoll Victor,https://scholar.google.com//citations?hl=en&user=LjXiPUUAAAAJ,"American politics, congress, interest groups, social networks",996,"Associate Professor of Political Science, George Mason University"
James D. Willett,https://scholar.google.com//citations?hl=en&user=EwepbdsAAAAJ,"metabolic profiling, aging, C.elegans, metabolomics",992,"Director, School of Systems Biology, George Mason University"
Gautham Vadakkepatt,https://scholar.google.com//citations?hl=en&user=YckE7d0AAAAJ,"government-business relationship, social media, innovation, marketing strategy",986,george mason university
Mirae Kim,https://scholar.google.com//citations?hl=en&user=gbNTcf0AAAAJ,"Nonprofit Management, Financial Management, Arts Organizations",982,"Associate Professor, Schar School of Policy and Government, George Mason University"
Lei Yang,https://scholar.google.com//citations?hl=en&user=UTTE_wEAAAAJ,"System-Level Optimization for Applied …, Automated machine learning, Hardware/Software co-design for neural archi",973,George Mason University
Justin King,https://scholar.google.com//citations?hl=en&user=TDlDWZkAAAAJ,"Neuroscience, Receptor Signaling, Cell Biology, Molecular Neuroscience, Proteomics",969,George Mason University
David Lattanzi,https://scholar.google.com//citations?hl=en&user=AM-EsHkAAAAJ,civil engineering,968,George Mason University
Zhisheng Yan,https://scholar.google.com//citations?hl=en&user=i6ePuTMAAAAJ,"Immersive Computing, AR/VR Systems and Security, Mobile and IoT Systems, Multimedia Systems",961,George Mason University
Geoffrey J. Gilleaudeau,https://scholar.google.com//citations?hl=en&user=iN4jOowAAAAJ,"Sedimentary Geology, Geochemistry, Paleoceanography, Earth History",951,"Assistant Professor, George Mason University"
Andy Kilianski,https://scholar.google.com//citations?hl=en&user=t33F2BcAAAAJ,"Molecular Virology, Public Health, Biodefense",947,George Mason University
Amanda J Anderson,https://scholar.google.com//citations?hl=en&user=b2Hnx44AAAAJ,,946,George Mason University
Diek Wheeler,https://scholar.google.com//citations?hl=en&user=PO3rcCkAAAAJ,neuroinformatics,946,"Research Associate Professor, George Mason University"
Maria Dakake,https://scholar.google.com//citations?hl=en&user=UXaTKJEAAAAJ,islam,935,"Associate Professor of Religious Studies, George Mason University"
Rebecca Fox,https://scholar.google.com//citations?hl=en&user=DWhLJfsAAAAJ,"teacher education, Portfolio, Reflection, International Education, Teacher Professional Development",934,"Associate Professor of Education, George Mason University"
Harbir Lamba,https://scholar.google.com//citations?hl=en&user=sWMfW50AAAAJ,"Dynamical Systems, Non-Equilibrium Economic Models",932,George Mason University
Joan Kang Shin,https://scholar.google.com//citations?hl=en&user=SiF5hCMAAAAJ,"TESOL, TEYL, Teaching English to Young Learners, online teacher education",922,George Mason University
Jim Hsieh,https://scholar.google.com//citations?hl=en&user=tvZpLQIAAAAJ,,921,George Mason University
Hashemi,https://scholar.google.com//citations?hl=en&user=S7YSM7UAAAAJ,"Machine Learning, Spatial-Temporal Data, Urban Computing, Intelligent Transportation, Online Social Media",919,"Assistant Professor of Information Sciences and Technology, George Mason University"
Ellen Johnson Serafini,https://scholar.google.com//citations?hl=en&user=gir_9tIAAAAJ,"Dynamic Approaches to Instructed Second …, Learner Individual Differences, Task-based Language Teaching, Critica",917,"Associate Professor, Spanish Applied Linguistics, George Mason University"
William Yagatich,https://scholar.google.com//citations?hl=en&user=aCJv3MoAAAAJ,"Theory, Sociology of Space and Place, Sociology of Knowledge, Environmental Sociology",917,"Postdoctoral Research Fellow, Center for Climate Change Communication at George …"
Amanda L. Sanchez,https://scholar.google.com//citations?hl=en&user=cj01akEAAAAJ,"Cultural responsiveness, community-engaged research, youth mental health services, health equity-focused implementation science",912,George Mason University
James W Harvey,https://scholar.google.com//citations?hl=en&user=W9SiYeUAAAAJ,"nonprofit marketing, marketing management, strategic planning",911,"Associate Professor of Marketing, George Mason University"
Maria Emelianenko,https://scholar.google.com//citations?hl=en&user=R2aC7mAAAAAJ,"Applied Mathematics, Scientific Computing, Numerical Analysis, Modeling",904,"Professor of Mathematics, Department of Mathematical Science, George Mason University"
Fuxin Huang,https://scholar.google.com//citations?hl=en&user=3xI4cWUAAAAJ,"CFD, ship hydrodynamics, ship hull form optimization, big data and machine learning",903,George Mason University
Jenna R. Krall,https://scholar.google.com//citations?hl=en&user=HouZ00wAAAAJ,"Biostatistics, air pollution, environmental epidemiology, source apportionment, aging",897,"Assistant Professor, George Mason University"
Shelley Wong,https://scholar.google.com//citations?hl=en&user=frVke-UAAAAJ,Bilingual Education and TESOL,896,"Associate Professor, College of Education and Human Development, George Mason …"
Jamie L. Clark,https://scholar.google.com//citations?hl=en&user=Wcj0CwgAAAAJ,"Paleolithic Archaeology, Zooarchaeology, Modern Human Origins",893,George Mason University
Andrew Peterson,https://scholar.google.com//citations?hl=en&user=mTy1DEUAAAAJ,"Consciousness, Medical Ethics, Brain Injury, Philosophy of Science, Vegetative State",893,George Mason University
Xiaokuan Zhang,https://scholar.google.com//citations?hl=en&user=HbuPL5IAAAAJ,"System Security, Privacy, DeFi Security, Side Channels, Traffic Analysis",892,"Computer Science, George Mason University"
Lannan Lisa Luo,https://scholar.google.com//citations?hl=en&user=JPXjw04AAAAJ,"Sofware and Systems Security, Mobile Security, Software Engineering, Programming Language, Deep Learning",890,"Department of Computer Science, George Mason University"
Stephen Robertson,https://scholar.google.com//citations?hl=en&user=YbcsdiUAAAAJ,"US History, American history, legal history, history of sexuality, digital history",888,"Department of History & Art History, George Mason University"
Xiaonan Guo,https://scholar.google.com//citations?hl=en&user=4fkyrCIAAAAJ,,887,George Mason University
Susan H Allen,https://scholar.google.com//citations?hl=en&user=0yl4HiwAAAAJ,"conflict resolution, peacemaking, action research",878,"Henry Hart Rice Chair and Professor of Conflict Analysis and Resolution, George Mason …"
Theodore A. Hoch,https://scholar.google.com//citations?hl=en&user=pMgBxvwAAAAJ,"applied behavior analysis, stimulus equivalence, verbal behavior, feeding",874,George Mason University
Sijia He,https://scholar.google.com//citations?hl=en&user=lCG5ezoAAAAJ,"Virology, Immunology, Molecular biology",874,George Mason University
Katrin B. Anacker,https://scholar.google.com//citations?hl=en&user=UxdQ21AAAAAJ,"Housing, suburbs",867,"Professor, George Mason University"
Rajendra Kulkarni,https://scholar.google.com//citations?hl=en&user=PyTMfLUAAAAJ,"Blockchain - Cryptocurrency, Network Analysis, Complexity Science, Regional Analysis, Transportation",867,Schar School @ George Mason University
Debora Goetz Goldberg,https://scholar.google.com//citations?hl=en&user=JdBevlYAAAAJ,"primary care, implementation science, vulnerable populations",867,George Mason University
Naoru Koizumi,https://scholar.google.com//citations?hl=en&user=UEQwIcoAAAAJ,"bio-/spatial-statistics, GIS, end-stage kidney/liver disease, organ allocation & transplant",861,"Schar School of Policy & Government, George Mason University"
Xuesu Xiao,https://scholar.google.com//citations?hl=en&user=r9TQ2n4AAAAJ,"Robotics, Motion Planning, Machine Learning",860,"Assistant Professor, George Mason University"
Ivan Akhrymuk,https://scholar.google.com//citations?hl=en&user=D9HfwRsAAAAJ,virology,859,"Assistant Research Professor, George Mason University"
Bassam Haddad,https://scholar.google.com//citations?hl=en&user=KBtgO4kAAAAJ,Comparative Politics and Political Economy,858,George Mason University
Minkyung Park,https://scholar.google.com//citations?hl=en&user=5lWsFuEAAAAJ,"Tourism growth, urban tourism, sustainability",855,"Professor of Tourism, George Mason University"
Jessica J Hoppner,https://scholar.google.com//citations?hl=en&user=EpCNUywAAAAJ,"Marketing Strategy, International Marketing",854,"Associate Professor of Marketing, George Mason University"
Sarah Nagro,https://scholar.google.com//citations?hl=en&user=K1dUPSwAAAAJ,"Special Education, Teacher Preparation, Student Teaching, Reflection, Video Analysis",845,"Associate Professor of Special Education, George Mason University"
Riyadh Mahmood,https://scholar.google.com//citations?hl=en&user=_d4BYvoAAAAJ,Software Engineering,841,George Mason University
NS Duxbury,https://scholar.google.com//citations?hl=en&user=vWcxYL8AAAAJ,"Astrophysics, Mathematics, Quatum Physics",841,"Aff. Professor, GMU"
Geir Agnarsson,https://scholar.google.com//citations?hl=en&user=nFVOTY8AAAAJ,Mathematics,840,"Associate Professor, George Mason University"
Guadalupe Correa-Cabrera,https://scholar.google.com//citations?hl=en&user=bxCoHdYAAAAJ,"organized crime, migration, border studies, Mexico-United States relations, human trafficking",838,George Mason University
Shih-Chun Chang,https://scholar.google.com//citations?hl=en&user=SUziu1sAAAAJ,Coding Theory,833,George Mason University
Emily K. Schnebele,https://scholar.google.com//citations?hl=en&user=gVd0KRUAAAAJ,… temporal data analysis - natural hazards - GIS …,821,George Mason University
Laurie Trenary,https://scholar.google.com//citations?hl=en&user=Yz8Vp14AAAAJ,"Climate Prediction and Variability, Statistical Analysis, Extreme Events and Climate Change",821,Research Asst. Prof. at Center of Ocean-Land-Atmosphere Studies and George Mason …
Helen B. Chin,https://scholar.google.com//citations?hl=en&user=h8e4qKgAAAAJ,"Reproductive Epidemiology, Environmental Health",819,George Mason University
Robert Norris,https://scholar.google.com//citations?hl=en&user=3fAFPuYAAAAJ,"social change and legal reform, legal decision-making, wrongful convictions, public opinion, criminal admissions",814,"Criminology, Law, and Society / George Mason University"
Sabine Doebel,https://scholar.google.com//citations?hl=en&user=75UfqO0AAAAJ,"development of executive function, cognitive control, self-regulation, cognitive development",812,"Assistant Professor, Psychology, George Mason University"
Lynette M. Henry,https://scholar.google.com//citations?hl=en&user=6yRF5_MAAAAJ,"Resilience, School Family Community Partnerships, positive youth development, ecological theory, bronfenbrenner",805,George Mason University
Uday kamath,https://scholar.google.com//citations?hl=en&user=u6kw0IcAAAAJ,"Machine Learning, Artificial Intelligence, Big Data, Natural Language Processing, Speech Recognition",797,George Mason University
Donald J. Kochan,https://scholar.google.com//citations?hl=en&user=mCi70SkAAAAJ,"Property Law, Constitutional Law, Administrative Law, Law & Economics, Torts",797,"Professor of Law, Antonin Scalia Law School at George Mason University"
Mingrui Liu,https://scholar.google.com//citations?hl=en&user=KFoEnFQAAAAJ,"Machine Learning, Optimization",789,George Mason University
Murat C Mungan,https://scholar.google.com//citations?hl=en&user=s05GxKUAAAAJ,Law and Economics,788,"Professor of Law, Antonin Scalia Law School, George Mason University"
Farnoud Farahmand,https://scholar.google.com//citations?hl=en&user=IH2QHqUAAAAJ,"Computer Engineering, Hardware design, Design Automation, Cryptography and Hardware Security, High-Level Synthesis",783,"PhD Candidate, George Mason University"
Beverly D. Shaklee,https://scholar.google.com//citations?hl=en&user=0tPdckUAAAAJ,"Teacher development, international education, underserved gifted populations, diversity",781,George Mason University
Li Lin,https://scholar.google.com//citations?hl=en&user=Kg99EKkAAAAJ,GIS,778,"Center for Spatial Information Science and Systems (CSISS), George Mason University"
Michael J. Casey,https://scholar.google.com//citations?hl=en&user=UOZXJ_gAAAAJ,"Construction and Project Management, Networks, Infrastructure, Geographic Information Systems, Building Information Modeling",777,"Assistant Professor, George Mason University"
Thomas Flores,https://scholar.google.com//citations?hl=en&user=wXxx90sAAAAJ,"Political Science, Political Economy, Conflict",777,"Associate Professor, School for Conflict Analysis and Resolution, George Mason University"
Lucas RF Henneman,https://scholar.google.com//citations?hl=en&user=IL-s1LkAAAAJ,Air pollution modeling and policy analysis,777,George Mason University Volgenau School of Engineering
Shaghayegh Bagheri,https://scholar.google.com//citations?hl=en&user=KX9_X24AAAAJ,,775,George Mason University
Evelyn Sander,https://scholar.google.com//citations?hl=en&user=_aYezdcAAAAJ,,775,George Mason University
Matt Rice,https://scholar.google.com//citations?hl=en&user=3eqL8bsAAAAJ,"Geographic Information Science, Geovisualization, Assistive Geotechnology",772,George Mason University
Jim Jones,https://scholar.google.com//citations?hl=en&user=sXhEMbEAAAAJ,"cyber security, digital forensics, cyber warfare, deception",772,George Mason University
Bryson Cale,https://scholar.google.com//citations?hl=en&user=VQ75BfwAAAAJ,"Exoplanet detection methods, primarily radial velocities",771,"Ph.D. Candidate, George Mason University"
Jiasun Li,https://scholar.google.com//citations?hl=en&user=LXZUjssAAAAJ,"Blockchain, Crowdfunding, Fintech, Industrial Organization, Theory of the Firm",766,George Mason University
Samantha Viano,https://scholar.google.com//citations?hl=en&user=zE91EXcAAAAJ,"Education Leadership, Education Policy, School Security, Online Learning, Inequality",766,"Assistant Professor, George Mason University"
Girum Urgessa,https://scholar.google.com//citations?hl=en&user=1Q88P2AAAAAJ,,763,George Mason University
Sungsoo Ray Hong,https://scholar.google.com//citations?hl=en&user=D5bxMHYAAAAJ,"Human-computer Interaction, CSCW, Human-AI Interaction",758,"Assistant Professor, George Mason University"
Amy E Fowler,https://scholar.google.com//citations?hl=en&user=7Q8WZiUAAAAJ,aquatic invertebrate ecology,758,"Assistant Professor, George Mason University"
Douglas Eyman,https://scholar.google.com//citations?hl=en&user=QSHxSksAAAAJ,"Rhetoric, Digital Rhetoric, Writing, Electronic Publishing, Digital Scholarship",754,"Associate Professor of Rhetoric and Writing, George Mason University; Sr Editor/Publisher …"
Majid Masso,https://scholar.google.com//citations?hl=en&user=cIH-m_IAAAAJ,"Protein Structure, Protein Function, Computational Mutagenesis, Statistical Geometry, Machine Learning",748,"Laboratory for Structural Bioinformatics, School of Systems Biology, George Mason …"
Ziheng Sun,https://scholar.google.com//citations?hl=en&user=RiE-yNUAAAAJ,"cyberinfrastructure, geoinformatics, deep learning, agricultural remote sensing, image classification",741,George mason university
Phan Giang,https://scholar.google.com//citations?hl=en&user=0y54u3QAAAAJ,Artificial Intelligence,740,"Prof of Health Informatics, George Mason University"
Adam Cadien,https://scholar.google.com//citations?hl=en&user=qNIeZBYAAAAJ,Computational Materials Science,736,"Graduate Student, George Mason University"
Beidi Dong,https://scholar.google.com//citations?hl=en&user=1q6p_ekAAAAJ,"Violence prevention, Youth gangs, Firearm violence, Quantitative methodology",731,George Mason University
Abbas K. Zaidi,https://scholar.google.com//citations?hl=en&user=QNQZ6vYAAAAJ,"Digital Engineering, System Architectures, Discrete-event Systems",726,"Professor of Systems Engineering, George Mason University"
Lee Solomon,https://scholar.google.com//citations?hl=en&user=WlRw16sAAAAJ,Biochemistry and Protein Design,724,George Mason University
Jung Yeon (Ellie) Park,https://scholar.google.com//citations?hl=en&user=y0v7aH0AAAAJ,"Educational Measurement, Evaluation, & Statistics",719,George Mason University
Sojung Claire Kim,https://scholar.google.com//citations?hl=en&user=BxIn-YgAAAAJ,"Health Communication, Strategic Messaging, Misinformation Correction, Eye Tracking Technology",713,"Associate Professor, George Mason University"
Praneeth Babu Marella,https://scholar.google.com//citations?hl=en&user=f5mz_tAAAAAJ,"Computer Science, Cybersecurity",704,BSU/GMU
Iris Talebi,https://scholar.google.com//citations?hl=en&user=dejZpMEAAAAJ,,699,"Graduate Student, George Mason University"
Dawn M. Hathaway,https://scholar.google.com//citations?hl=en&user=H3gXwTQAAAAJ,"online teaching, online learning, design, teacher education",698,"Assistant Professor, Learning Technologies in Schools, George Mason University"
Changwei Liu,https://scholar.google.com//citations?hl=en&user=h8RLtL4AAAAJ,"Cyber security, Network Forensics, Cloud Forensics",693,George Mason University
Andrew Gilbert,https://scholar.google.com//citations?hl=en&user=uPxATU8AAAAJ,Science Education,693,George Mason University
Sophia Abbot,https://scholar.google.com//citations?hl=en&user=39pZaOsAAAAJ,"Students as Partners, SoTL, higher education, teaching and learning, educational development",690,"Doctoral Student, George Mason University"
Evan Marie Lowder,https://scholar.google.com//citations?hl=en&user=YTHL-vEAAAAJ,"Justice-involved behavioral health …, risk assessment, pretrial processing, diversion programs",688,"Assistant Professor, Department of Criminology, Law and Society, George Mason University"
Jeffrey K. Bassett,https://scholar.google.com//citations?hl=en&user=gZA-tX0AAAAJ,"Evolutionary Computation, Artificial Intelligence, Quantitative Genetics, Agent Based Modeling",683,George Mason University
Jinwei Ye,https://scholar.google.com//citations?hl=en&user=ESpjkZoAAAAJ,"Computational Photography, Computer Vision",681,George Mason University
Natasha A Tonge,https://scholar.google.com//citations?hl=en&user=bpou7qoAAAAJ,"minority mental health, trust, self-disclosure, anxiety, patient-provider interactions",667,George Mason University
Vias C Nicolaides,https://scholar.google.com//citations?hl=en&user=6xSVF9QAAAAJ,"Research methodology, attendance, performance, leadership, teams",663,George Mason University
Chen Zhang,https://scholar.google.com//citations?hl=en&user=GAjUx24AAAAJ,"GIS, Computer Science, Agro-Geoinformatics, Remote Sensing, AI/Machine Learning",661,"Center for Spatial Information Science and Systems, George Mason University"
Michael von Fricken,https://scholar.google.com//citations?hl=en&user=Vxh1QHMAAAAJ,"Infectous disease epidemiology, vector-borne diseases, global health, surveillance of emerging diseases",650,"George Mason University, Dept. of Global and Community Health"
Aurora Chang,https://scholar.google.com//citations?hl=en&user=0X7RJKsAAAAJ,"Undocumented Students, Multiracial Identity, Immigration, Faculty of Color",649,"Director, Faculty Development at George Mason University"
Long Chen,https://scholar.google.com//citations?hl=en&user=2ahV99oAAAAJ,"Financial reporting, Corporate Governance, Corporate Social Responsibility, Auditing, International Accounting",648,"Associate Professor of Accounting, George Mason University"
Julia Shadur,https://scholar.google.com//citations?hl=en&user=EO5nVMEAAAAJ,"addiction, emotion regulation, children of substance-dependent caregivers, emotion socialization, parenting",646,"Assistant Professor, George Mason University"
Gregory J. Stein,https://scholar.google.com//citations?hl=en&user=4djS86UAAAAJ,"machine learning, robotics, navigation under uncertainty",642,"Assistant Professor, George Mason University"
Lisa Breglia,https://scholar.google.com//citations?hl=en&user=I3WzqXUAAAAJ,"Mexico, heritage, extractive economies",642,George Mason University
Milagros Rivera,https://scholar.google.com//citations?hl=en&user=22Z5UY0AAAAJ,"intercultural communication, information communication technologies, media law, ICT for development",641,George Mason
"Atesmachew Hailegiorgis, phd",https://scholar.google.com//citations?hl=en&user=A07b89MAAAAJ,"GIS, Agent-based Modeling, Big Data, Complex System",640,"George Mason University, Loyola University Chicago"
Carlos N. Rautenberg,https://scholar.google.com//citations?hl=en&user=9mwuWXcAAAAJ,"quasivariational inequalities, control theory, optimization, mathematical imaging",634,George Mason University
Bernd-Peter Paris,https://scholar.google.com//citations?hl=en&user=HrlyUK4AAAAJ,"Wireless Communications, Digital Signal Processing, Communication Networks",633,"Professor of Electrical Engineering, George Mason University"
Baoxian Zhao,https://scholar.google.com//citations?hl=en&user=hnkDJIQAAAAJ,"Low-power Computing, Embedded and Real-time  Systems, Fault Tolerance, Access Control",633,"PhD of Computer Science, George Mason University"
Mary Narayan,https://scholar.google.com//citations?hl=en&user=NVqesi8AAAAJ,Nursing,631,George Mason University
Qian Liu,https://scholar.google.com//citations?hl=en&user=KEUynwwAAAAJ,"Remote Sensing, GIS, Precipitation, GeoAI",628,George Mason University
Holger Dannenberg,https://scholar.google.com//citations?hl=en&user=Aql3LfIAAAAJ,"Neuroscience, memory, navigation, theta rhythm",628,"Assistant Professor, Dept. of Bioengineering, George Mason University"
Edward Douthett,https://scholar.google.com//citations?hl=en&user=7V0L_xsAAAAJ,"Audit Markets, Managerial Accounting",622,"Associate Professor, Northern Chapter VSCPA Professor of Pubic Accounting, George …"
